Date,Open,High,Low,Close,Adj Close,Volume
8/5/17,0.219835,0.23751,0.219079,0.233581,0.233581,144482988
8/6/17,0.234417,0.239586,0.227825,0.228135,0.228135,93762510
8/7/17,0.227215,0.230727,0.224493,0.226909,0.226909,73581036
8/8/17,0.227646,0.246216,0.226089,0.244045,0.244045,228131481
8/9/17,0.24397,0.244461,0.229453,0.232251,0.232251,124163955
8/10/17,0.232532,0.23343,0.229391,0.229702,0.229702,61325693
8/11/17,0.229417,0.232727,0.225302,0.227218,0.227218,68504451
8/12/17,0.227109,0.231389,0.219532,0.220307,0.220307,82658568
8/13/17,0.219916,0.220679,0.206078,0.21304,0.21304,139666212
8/14/17,0.2134,0.228182,0.209867,0.216382,0.216382,107417872
8/15/17,0.216126,0.216092,0.201856,0.205541,0.205541,128272788
8/16/17,0.205562,0.206184,0.195217,0.202528,0.202528,136238208
8/17/17,0.202978,0.203087,0.19735,0.199723,0.199723,71120500
8/18/17,0.19924,0.212076,0.195231,0.199827,0.199827,184302110
8/19/17,0.20067,0.204185,0.191554,0.195015,0.195015,109497998
8/20/17,0.194401,0.202828,0.192971,0.199784,0.199784,86267968
8/21/17,0.199375,0.25836,0.195041,0.241068,0.241068,561588482
8/22/17,0.244903,0.319852,0.215503,0.300591,0.300591,1821540328
8/23/17,0.302728,0.374786,0.27598,0.309521,0.309521,2220081600
8/24/17,0.316473,0.361903,0.266104,0.273938,0.273938,1679426676
8/25/17,0.271739,0.290323,0.254102,0.271719,0.271719,629293341
8/26/17,0.272253,0.285762,0.262358,0.265169,0.265169,229672525
8/27/17,0.265218,0.265218,0.246632,0.253216,0.253216,241959435
8/28/17,0.253752,0.295089,0.244661,0.280904,0.280904,678735921
8/29/17,0.280301,0.282046,0.268691,0.273467,0.273467,337536203
8/30/17,0.273851,0.289738,0.272106,0.287949,0.287949,228819799
8/31/17,0.287383,0.325697,0.285366,0.318771,0.318771,539419797
9/1/17,0.318986,0.319229,0.30406,0.307865,0.307865,351350664
9/2/17,0.308942,0.309354,0.269822,0.280843,0.280843,408780792
9/3/17,0.281537,0.292953,0.270922,0.283199,0.283199,230863230
9/4/17,0.283162,0.283116,0.243206,0.254447,0.254447,297455568
9/5/17,0.254624,0.270434,0.235831,0.266167,0.266167,300116468
9/6/17,0.265873,0.277518,0.265692,0.276739,0.276739,199793869
9/7/17,0.276978,0.275969,0.268593,0.270783,0.270783,124809264
9/8/17,0.270753,0.271637,0.250498,0.257079,0.257079,183925256
9/9/17,0.256806,0.257534,0.250852,0.255228,0.255228,62210856
9/10/17,0.254755,0.263169,0.240169,0.258854,0.258854,142277274
9/11/17,0.258225,0.266357,0.255284,0.259645,0.259645,167500870
9/12/17,0.260152,0.266755,0.252763,0.254805,0.254805,115068044
9/13/17,0.255204,0.255383,0.239083,0.244307,0.244307,128337112
9/14/17,0.24388,0.245927,0.199676,0.199676,0.199676,185525878
9/15/17,0.200732,0.230615,0.183462,0.221021,0.221021,352708861
9/16/17,0.221712,0.228405,0.209956,0.218247,0.218247,102974300
9/17/17,0.217388,0.220732,0.208418,0.217622,0.217622,59971625
9/18/17,0.217519,0.231633,0.217537,0.233035,0.233035,108552626
9/19/17,0.233098,0.23406,0.223095,0.22626,0.22626,66444275
9/20/17,0.225853,0.228242,0.221485,0.224721,0.224721,42606558
9/21/17,0.223367,0.22485,0.210889,0.211601,0.211601,53694502
9/22/17,0.211371,0.216338,0.20838,0.21399,0.21399,45933888
9/23/17,0.213818,0.220356,0.211544,0.219382,0.219382,40053514
9/24/17,0.219743,0.220685,0.214798,0.217027,0.217027,25391400
9/25/17,0.216696,0.22701,0.215822,0.224409,0.224409,44047344
9/26/17,0.225003,0.235999,0.222855,0.230043,0.230043,86520870
9/27/17,0.229027,0.256909,0.228818,0.253758,0.253758,311967618
9/28/17,0.2528,0.25415,0.238702,0.24383,0.24383,146650358
9/29/17,0.243798,0.243998,0.232655,0.241311,0.241311,90103751
